Name,Artist,Materials,Location,Country,Period
Merode Alterpiece,Campin,Tempera and oil on panel,,Netherlands,Early 1400s
The Ghent Altarpiece,Jan and Hugo van Eyck,Oil on panel,,Netherlands,Early 1400s
Arnolfini Double Portrait,Jan van Eyck,Oil on panel,,Netherlands,Mid 1400s
The Portinari Altarpiece,Van der Goes,Oil on panel,,Netherlands,Late 1400s
Scenes from the Old Testament,Ghiberti,Gilded bronze,Florence,Italy,Mid 1400s
The Holy Trinity,Masaccio,Fresco, (Santa Maria Novella),Italy,Mid 1400s
The Tribute Money,Masaccio,Fresco, (Brancacci Chapel),Italy,Early 1400s
Christ Giving the Keys to St. Peter,Perugino,Fresco, (Sistine Chapel),Italy,Late 1400s
Dome of the Florence Cathedral,Brunelleschi,,Florence,Italy,Early 1400s
The Church of San Lorenzo,Brunelleschi,,Florence,Italy,Mid 1400s
Tempietto,Bramante,,Rome,Italy,Early 1500s
Santa Maria Della Consolazione,Bramante,,Todi,Italy,Early 1500s
David (Michelangelo),Michelangelo,Marble,,Italy,Early 1500s
Madonna of the Goldfinch,Raphael,Oil on panel,,Italy,Early 1500s
School of Athens,Raphael,Fresco,,Italy,Early 1500s
Madonna with the Long Neck,Parmigianino,Oil on panel,,Italy,Mid 1500s
Palazzo del Te,Romano,,Near Mantua,Italy,Early 1500s
Passional Christi und Antichristi,Cranach the Elder,Wood cuts,,Germany,Early 1500s
Old Ship Meetinghouse,,,"Hingham, MA",British North American Colonies,Late 1600s
The Calling of St. Matthew,Caravaggio,Oil on canvas,,Italy,Early 1600s
The Crucifixion of St. Peter,Caravaggio,Oil on canvas,,Italy,Early 1600s
David (Bernini),Bernini,Marble,,Italy,Early 1600s
The Ecstasy of St. Teresa,Bernini,Marble,,Italy,Mid 1600s
Sant’Andrea al Quirinale,Bernini,,Rome,Italy,Mid 1600s
Las Meninas,Velazquez,Oil on canvas,,Spain,Mid 1600s
The Surrender at Breda,Velazquez,Oil on canvas,,Spain,Mid 1600s
Still Life with an Ebony Chest,Pereda,Oil on canvas,,Spain,Mid 1600s
The Night Watch,Rembrandt,Oil on canvas,,Netherlands,Mid 1600s
Woman Holding a Balance,Vermeer,Oil on canvas,,Netherlands,Mid 1600s
Still Life with Tazza,Claesz,Oil on canvas,,Netherlands,Mid 1600s
Still Life with Wine Glass and Bowl of Fruit,Kalf,Oil on canvas,,Netherlands,Mid 1600s
